"Date","Start","End","Minutes","Events"
"2026-02-11","2026-02-11 08:52:54","2026-02-11 08:52:54","0","2"
"2026-02-11","2026-02-11 11:11:29","2026-02-11 12:01:30","50","6"
"2026-02-12","2026-02-12 20:27:12","2026-02-12 23:23:33","176,3","36"
"2026-02-13","2026-02-13 01:41:06","2026-02-13 01:41:13","0,1","2"
"2026-02-14","2026-02-14 07:03:30","2026-02-14 07:15:34","12,1","2"
"2026-02-14","2026-02-14 20:36:13","2026-02-14 20:36:13","0","1"
"2026-02-15","2026-02-15 14:52:55","2026-02-15 14:53:00","0,1","2"
"2026-02-16","2026-02-16 04:03:48","2026-02-16 04:03:48","0","1"
"2026-02-16","2026-02-16 15:56:05","2026-02-16 16:21:47","25,7","3"
"2026-02-17","2026-02-17 09:25:43","2026-02-17 12:35:11","189,5","29"
"2026-02-17","2026-02-17 17:47:47","2026-02-17 18:41:41","53,9","20"
"2026-02-17","2026-02-17 20:16:08","2026-02-17 20:22:55","6,8","5"
"2026-02-17","2026-02-17 22:14:23","2026-02-17 23:23:47","69,4","17"
"2026-02-18","2026-02-18 06:14:49","2026-02-18 06:14:49","0","1"
"2026-02-18","2026-02-18 07:04:18","2026-02-18 07:16:26","12,1","9"
"2026-02-19","2026-02-19 06:07:50","2026-02-19 06:07:50","0","1"
"2026-02-19","2026-02-19 08:00:41","2026-02-19 09:20:12","79,5","31"
"2026-02-19","2026-02-19 17:47:53","2026-02-19 18:14:06","26,2","12"
"2026-02-19","2026-02-19 19:58:41","2026-02-19 21:02:45","64,1","5"
"2026-02-20","2026-02-20 06:40:13","2026-02-20 07:02:57","22,7","4"
"2026-02-20","2026-02-20 07:50:54","2026-02-20 09:16:14","85,3","15"
"2026-02-21","2026-02-21 07:02:37","2026-02-21 07:49:01","46,4","4"
"2026-02-24","2026-02-24 13:24:54","2026-02-24 13:24:54","0","1"
"2026-02-24","2026-02-24 22:29:44","2026-02-24 22:30:56","1,2","2"
